country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,17.1,17.1,17.1,15.8,15.8,18.4,15,17.3,17.3,17.3,17.3,17.3,17.3,19.1,19.1,12.2,9.59,11.7,4.3,4.3,4.3,0,0,0,0,0,3.25,26.2,30.3,32,34,34,34.6,33.4,33.4,34,34,34,34,34,34,31.2,32.8,33.8,33.8,34.2,7.52
Angola,27.3,34,34,34,34,36.1,37.1,37,37,37.1,37.1,37.9,38.1,37.9,37.9,37.9,38.3,36.6,38.3,36.8,36.8,36.8,37,37.6,37.6,37.6,37.6,40.7,45,45.2,45.2,45.2,45.2,44.4,46.9,46.9,49,48.9,50.6,50.6,50.8,49.3,51.8,51.8,52.1,53.2,53
Albania,47.9,50.4,50.4,50.4,50.4,50.7,50.5,50.4,50.4,50.4,50.7,50.7,50.7,50.7,50.7,51.7,42.3,44.9,46.1,46.3,46.3,48.4,47.2,49.1,50.6,50.6,53,53.8,55.5,53.8,56.5,56.5,58.1,55.5,57.8,57.8,57.8,58,58.5,60.2,60.4,62.1,61,61.2,62,62,69
UAE,8.1,8.1,8.78,8.78,8.78,15.7,12.7,14.9,14.9,15.3,17.1,17.1,15.4,17.3,17.4,20.1,20.2,20.2,20.4,20.5,22.3,23.9,24.1,26,26,27.6,31.2,28.9,28.9,30.2,34.7,32.8,37.1,40,40,41.6,41.3,41.9,41.9,41.9,44.5,36.9,40.6,40.6,41.1,43.6,45.9
Argentina,48.4,42.8,42.8,43,43,43,43.2,40.4,49.7,55,57,57.2,59.6,59.6,59.8,59,59.8,66.7,69.2,67.6,68.5,68.5,69.1,69.1,68.8,68.8,71.3,71.3,73.5,75.6,75.6,73.9,77.6,76,77.6,77.6,77.6,77.6,75.6,75.6,76.1,76.5,77.1,74.2,75.3,77.6,76
Armenia,,,,,,,,,,,,,,,,,50,46.4,48.5,48.5,49,49,49,49,48.5,45.6,48.5,48.5,46.3,46.3,46.3,49.2,52.4,50.1,50.3,50.3,50.5,50.7,50.9,50.9,50.9,48.8,53,56,57.5,56.6,57.4
Australia,61.8,60.6,60.6,60.6,60.6,60.8,61,61,65.5,67.4,67.6,71.5,73.8,75.7,75.7,80.4,80.4,80.4,80.4,80.4,80.4,81,81.2,81.9,81.9,81.9,82.2,82.2,84,84,84,84,84.4,85.1,87.1,86.7,84.8,84.8,87.1,87.1,87.1,85.9,87.5,88.1,88.1,88.1,92.3
Austria,51.6,55.5,55.5,55.8,56,62,62.7,61,61,61,61.3,66,66,66,68,68.9,68.9,68.9,68.9,69.2,70.2,70.4,70.4,70.4,70.4,75,75,75.9,75.9,76.2,76.2,76.2,77.7,75.7,73.2,77.5,77.5,77.5,77.9,75,75,76.3,79.4,79.9,81,82.8,82.8
Azerbaijan,,,,,,,,,,,,,,,,,40.9,39.5,47.1,45.3,47.1,47.1,47.1,47.1,47.1,47.2,47.2,47.2,47.2,47.2,47.4,46.2,46.2,46.2,46.2,47,47,47,47.5,47.5,45.6,46.7,47.5,50,48.4,48.4,47.8
Burundi,30.1,30.1,31.5,31.5,31.5,31.5,34.6,38.5,37,37.7,39.2,39.5,37.4,37.4,39.1,37.4,37.4,42,46.8,46,47.3,47.4,47.4,47.9,47.9,49,49,49.3,49.3,49.3,55.3,54.6,54.7,55.8,55.9,53.6,53.6,53.6,53,54,54.1,48.8,56.6,56.1,54.2,53.2,51.6
